"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","draw_id"
0.0511001869634597,-0.226593860192636,0.329567125281738,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",15
0.27679852593796,0.00375423846707967,0.550588317250034,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",15
-0.0294715046651017,-0.363644523352469,0.305822305784309,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",16
0.990509558675878,0.802477823027092,1.17889203901245,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",16
-1.7844491847985,-2.08634639001504,-1.48162113981491,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",16
0.140425854846904,-0.0704921340963227,0.351789021586058,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",16
0.812713947374921,0.569281536209032,1.05673559750028,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",16
1.99541181898066,1.70747883677764,2.28415993693565,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",16
-0.0551672455260666,-0.294314599035783,0.184553710747237,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",16
-0.113971393786472,-0.417758371657806,0.190742320884674,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",16
-0.356769731396678,-0.647240400494653,-0.0654498336517428,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",17
0.781374662496259,0.554377104409665,1.00888465865725,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",17
-1.65417072955546,-1.97315619344357,-1.33414726707205,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",17
0.184796821082167,-0.0218319177548332,0.39185260750898,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",17
0.845203761727764,0.522200282217633,1.16924513383754,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",17
2.0940347712803,1.86738596996057,2.32118785253856,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",17
-0.0304908462667064,-0.298357234434421,0.238095213111245,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",17
-0.0879759806653668,-0.368569487335679,0.193407765747367,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",17
-0.243153201318924,-0.601649129938986,0.116635699767098,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",18
0.841151332823431,0.652051443568813,1.03060649320865,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",18
-1.59591230500876,-1.94429943332676,-1.24628737419201,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",18
0.351684728516322,0.153099306627968,0.550663909260463,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",18
0.80148990555402,0.47579341961228,1.12824215027452,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",18
2.25685960898621,2.05000503562687,2.46413347497083,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",18
-0.0723645372131765,-0.364827718399241,0.220957123066068,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",18
-0.415783315087714,-0.693487558477202,-0.137302489730939,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",18
-0.0305200122470817,-0.341472620167882,0.281402823981458,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",19
