"","Pathogen","age_name","year","val","proportion"
"258","Citrobacter spp.","50 to 69",2009,2556.08926289165,22.8071145757749
"259","Citrobacter spp.","5 to 49",2009,1163.52564605761,10.3817433556558
"260","Citrobacter spp.","Post neonatal to 5",2009,456.406710384683,4.0723617473046
"261","Citrobacter spp.","70+ years",2010,3578.50437863168,31.6588778086139
"262","Citrobacter spp.","Neonatal",2010,3476.76459306917,30.758790202565
"263","Citrobacter spp.","50 to 69",2010,2630.87128394909,23.2752076554908
"264","Citrobacter spp.","5 to 49",2010,1167.35376971142,10.3275297287326
"265","Citrobacter spp.","Post neonatal to 5",2010,449.826326878108,3.97959460459763
"266","Citrobacter spp.","70+ years",2011,3889.19895322538,32.0654155752489
"267","Citrobacter spp.","Neonatal",2011,3638.88256041185,30.001623196048
"268","Citrobacter spp.","50 to 69",2011,2885.0073917358,23.7861220437063
"269","Citrobacter spp.","5 to 49",2011,1240.71084097378,10.2293323645856
"270","Citrobacter spp.","Post neonatal to 5",2011,475.152532779176,3.91750682041117
"271","Citrobacter spp.","70+ years",2012,3891.66110590717,31.838564198027
"272","Citrobacter spp.","Neonatal",2012,3676.37494302088,30.0772591584906
"273","Citrobacter spp.","50 to 69",2012,2930.40387879509,23.9743003005951
"274","Citrobacter spp.","5 to 49",2012,1247.51023005542,10.2061647883536
"275","Citrobacter spp.","Post neonatal to 5",2012,477.154758957404,3.90371155453374
"276","Citrobacter spp.","70+ years",2013,4242.80372561961,33.5967536079096
"277","Citrobacter spp.","Neonatal",2013,3573.15284065203,28.2941053497018
"278","Citrobacter spp.","50 to 69",2013,3063.71647321523,24.2601199894237
"279","Citrobacter spp.","5 to 49",2013,1275.95277826095,10.1036658490018
"280","Citrobacter spp.","Post neonatal to 5",2013,472.986384297629,3.74535520396311
"281","Citrobacter spp.","70+ years",2014,4486.03932069004,34.5691228201608
"282","Citrobacter spp.","Neonatal",2014,3531.29646135076,27.211937381783
"283","Citrobacter spp.","50 to 69",2014,3195.6403277155,24.6253933772617
"284","Citrobacter spp.","5 to 49",2014,1287.40386084395,9.92064915245063
"285","Citrobacter spp.","Post neonatal to 5",2014,476.632330312882,3.67289726834383
"286","Citrobacter spp.","70+ years",2015,4575.20993157426,34.0223553900118
"287","Citrobacter spp.","Neonatal",2015,3673.67711119722,27.3183417011638
"288","Citrobacter spp.","50 to 69",2015,3377.99221505643,25.1195580889549
"289","Citrobacter spp.","5 to 49",2015,1309.6638915422,9.73897395440012
"290","Citrobacter spp.","Post neonatal to 5",2015,511.114660110758,3.80077086546931
"291","Citrobacter spp.","70+ years",2016,4599.93206774435,34.4137366230399
"292","Citrobacter spp.","Neonatal",2016,3538.31297319635,26.4713845674627
"293","Citrobacter spp.","50 to 69",2016,3418.78601330111,25.5771606405418
"294","Citrobacter spp.","5 to 49",2016,1307.42840529142,9.78133940470199
"295","Citrobacter spp.","Post neonatal to 5",2016,502.098546448336,3.75637876425363
"296","Citrobacter spp.","70+ years",2017,5224.6226937125,34.8183094013265
"297","Citrobacter spp.","50 to 69",2017,3915.29851990858,26.0926163010374
"298","Citrobacter spp.","Neonatal",2017,3849.61471890229,25.6548815515321
"299","Citrobacter spp.","5 to 49",2017,1480.02122463262,9.86326476394251
"300","Citrobacter spp.","Post neonatal to 5",2017,535.831626922779,3.57092798216141
"301","Citrobacter spp.","70+ years",2018,5441.5527246856,35.2489022402589
"302","Citrobacter spp.","50 to 69",2018,4114.83227388837,26.6547671033976
"303","Citrobacter spp.","Neonatal",2018,3855.79577566592,24.9767989453239
"304","Citrobacter spp.","5 to 49",2018,1486.72258029412,9.63058552266456
"305","Citrobacter spp.","Post neonatal to 5",2018,538.606408452658,3.48894618835502
"306","Citrobacter spp.","70+ years",2019,6091.333652076,36.0331380852867
"307","Citrobacter spp.","50 to 69",2019,4632.1969903981,27.4016501684124
"308","Citrobacter spp.","Neonatal",2019,4012.35696763602,23.7350013839773
"309","Citrobacter spp.","5 to 49",2019,1615.3471372339,9.55554723747308
"310","Citrobacter spp.","Post neonatal to 5",2019,553.575590457922,3.27466312485054
"311","Citrobacter spp.","70+ years",2020,5173.79025918949,37.501211544306
"312","Citrobacter spp.","50 to 69",2020,3751.1377793791,27.1893919832714
